Q2,Q3,Q7,Q8,Q11,Q12,Q13,Q13_B,Q13_C,Q13_D,Q13_E,Q13_F,Q14,Q15,Q15_B,Q15_C,Q15_D,Q16,Q17,Q17_B,Q18,Q19,Q19_B,Q19_C,Q19_D,Q19_E,Q19_F,Q19_G,Q19_H,Q20,Q20_B,Q21,Q22,Q22_B,Q23,Q24,Q24_B,Q24_C,Q24_D,Q24_E,Q24_F,Q24_G,Q24_H,Q24_I,Q24_J,Q24_K,Q24_L,Q25
Men,> 35,Masters or lower,Non-academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,I have written my own R package,NA,For both recreational and job/educational purposes.,Strongly agree,Strongly agree,Strongly disagree,Disagree,Yes,Wide range of packages,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,"R-Blogger, R Journal",Blog,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,973
Men,35 or under,Doctorate/Professional,Non-academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,Strongly agree,Agree,Disagree,Disagree,Yes,Good for statistical analysis,NA,Yes,The R mailing lists,The #rstats hashtag on Twitter,NA,NA,NA,NA,NA,NA,Website,NA,Yes,A general user group,NA,I am too busy,NA,NA,NA,NA,R workshop at conference in my domain (specify domain/conference in comments box),NA,NA,NA,NA,NA,NA,NA,402
Men,35 or under,Masters or lower,Non-academic,< 2 years,No,I use functions from existing R packages to analyze data,NA,NA,NA,NA,NA,Primarily as part of a job or educational course;,Agree,Strongly agree,Disagree,Agree,Yes,Free,NA,No,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Mailing list,NA,No,NA,NA,I feel too inexperienced,NA,NA,Free local introductory R workshops,Paid local advanced R workshops,NA,NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,NA,NA,NA,100
Men,> 35,Masters or lower,Non-academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,I have written my own R package,NA,Primarily as part of a job or educational course;,Strongly agree,Agree,Disagree,Disagree,Yes,Good for reproducible research,NA,Yes,The R mailing lists,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,NA,NA,NA,Website,NA,Yes,Other (please specify),NA,I am too busy,NA,NA,NA,NA,NA,NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,NA,NA,NA,155
Women,35 or under,Doctorate/Professional,Academic,> 10 years,No,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,I have written my own R package,NA,Primarily as part of a job or educational course;,Agree,No opinion,Strongly disagree,Strongly disagree,Yes,Wide range of packages,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Blog,NA,No,NA,NA,It is not relevant (the topics are not interesting to me),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290
Men,35 or under,Doctorate/Professional,Non-academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",For both recreational and job/educational purposes.,Strongly agree,Agree,Strongly disagree,No opinion,Yes,Interactive/functional programming style,NA,Yes,The R mailing lists,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,NA,NA,Company slack,Blog,NA,No,NA,NA,Other (please specify),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,757
Men,35 or under,Masters or lower,Non-academic,2-5 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Agree,Agree,Agree,Agree,Yes,Free,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Blog,NA,No,NA,NA,I feel too inexperienced,NA,NA,Free local introductory R workshops,NA,NA,NA,NA,NA,NA,Online forum to discuss R-related issues,NA,NA,763
Women,> 35,Doctorate/Professional,Academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,Agree,No opinion,Strongly disagree,No opinion,Yes,Flexible/extensible/scalable,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Podcast,NA,No,NA,NA,I am too busy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Online support group for my demographic (specify relevant group in comments box),NA,134
Women,35 or under,Masters or lower,Non-academic,2-5 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,I have written my own R package,NA,For both recreational and job/educational purposes.,Strongly agree,Disagree,Disagree,Disagree,Yes,Supportive user community,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Twitter,NA,No,NA,NA,Other (please specify),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240
Women,> 35,Masters or lower,Non-academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,No opinion,No opinion,Disagree,Disagree,Yes,Wide range of packages,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,The Bioconductor support site,NA,NA,Blog,NA,No,A user group within a company,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,866
Men,> 35,Doctorate/Professional,Academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",For both recreational and job/educational purposes.,Agree,Agree,Agree,NA,Yes,NA,NA,Yes,The R mailing lists,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,I am too busy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,715
Women,NA,Doctorate/Professional,Non-academic,2-5 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Agree,Agree,Strongly disagree,Agree,Yes,Good for interoperability and data integration,NA,NA,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,Rbloggers,Website,NA,No,NA,NA,I feel too inexperienced,New R user group near me (specify location in comments box),New R user group near me aimed at my demographic (specify relevant group in comments box),NA,Paid local advanced R workshops,R workshop at conference in my domain (specify domain/conference in comments box),NA,NA,NA,NA,NA,NA,NA,22
Women,> 35,Doctorate/Professional,Non-academic,< 2 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,For both recreational and job/educational purposes.,Strongly agree,Strongly agree,Strongly disagree,No opinion,Yes,Good for automating repetitive tasks,NA,Yes,NA,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,NA,NA,NA,Website,NA,No,NA,NA,I feel too inexperienced,NA,NA,NA,NA,NA,NA,NA,NA,NA,Online forum to discuss R-related issues,NA,NA,172
Men,> 35,Masters or lower,Non-academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),NA,NA,Primarily as part of a job or educational course;,Strongly agree,Agree,Strongly disagree,Disagree,Yes,Good for visualisation,NA,Yes,NA,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,NA,NA,NA,Twitter,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Online support group for my demographic (specify relevant group in comments box),NA,172
Men,> 35,Masters or lower,Non-academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",For both recreational and job/educational purposes.,Strongly agree,Agree,Disagree,Disagree,Yes,Wide range of packages,NA,Yes,NA,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,NA,NA,NA,Website,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
Men,> 35,Doctorate/Professional,Non-academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,Agree,Agree,Disagree,Strongly disagree,Yes,Good for statistical analysis,NA,Yes,The R mailing lists,NA,NA,NA,NA,NA,NA,NA,Mailing list,NA,No,NA,NA,There is no group nearby/the group is inactive,New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,479
Women,> 35,Doctorate/Professional,Non-academic,< 2 years,Yes,I use functions from existing R packages to analyze data,NA,NA,NA,NA,NA,Primarily as part of a job or educational course;,Agree,Agree,Disagree,Disagree,Yes,Good for statistical analysis,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Mailing list,NA,No,NA,NA,NA,NA,NA,Free local introductory R workshops,Paid local advanced R workshops,R workshop at conference in my domain (specify domain/conference in comments box),NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,Online forum to discuss R-related issues,NA,NA,840
Men,> 35,Doctorate/Professional,Academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,NA,Primarily as part of a job or educational course;,Strongly agree,Strongly agree,Strongly disagree,Agree,Yes,Open source,NA,Yes,NA,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,The rOpenSci mailing lists or chat forums,NA,NA,NA,Blog,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,897
Men,35 or under,Doctorate/Professional,Non-academic,2-5 years,No,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,Strongly agree,Agree,Strongly disagree,Agree,Yes,Good for working with biological data structures,NA,Yes,NA,The #rstats hashtag on Twitter,NA,NA,NA,The Bioconductor support site,NA,NA,Twitter,NA,No,NA,NA,I am too busy,NA,NA,NA,Paid local advanced R workshops,NA,NA,NA,NA,NA,NA,NA,NA,818
Men,> 35,Doctorate/Professional,Non-academic,2-5 years,No,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",NA,NA,NA,NA,Primarily as part of a job or educational course;,Strongly agree,NA,NA,NA,Yes,Good for reproducible research,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,r user group locally,Mailing list,NA,Yes,Other (please specify),geographic,NA,NA,NA,NA,NA,NA,NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,NA,NA,NA,380
Men,> 35,Doctorate/Professional,Academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",For both recreational and job/educational purposes.,Strongly agree,Agree,Disagree,Agree,Yes,Other (please specify),"Several of the above: Free Open Source; extensible, functional, reproducible research; wide range of packages",Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Mailing list,NA,No,NA,NA,I am too busy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537
Women,> 35,Masters or lower,Non-academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Agree,Agree,Disagree,Disagree,Yes,Free,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Website,NA,No,NA,NA,It is not necessary (I have the support I need),NA,NA,NA,Paid local advanced R workshops,R workshop at conference in my domain (specify domain/conference in comments box),NA,NA,NA,NA,Online forum to discuss R-related issues,NA,NA,147
Men,35 or under,Masters or lower,Non-academic,2-5 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Strongly agree,Strongly agree,Disagree,Agree,Yes,Wide range of packages,NA,Yes,NA,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,NA,NA,R-bloggers,Blog,NA,Yes,A general user group,NA,NA,NA,NA,Free local introductory R workshops,NA,R workshop at conference in my domain (specify domain/conference in comments box),NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,NA,NA,NA,910
Men,35 or under,Doctorate/Professional,Non-academic,< 2 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Agree,Agree,No opinion,No opinion,Yes,Good for statistical analysis,NA,No,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Mailing list,NA,No,NA,NA,I am too busy,NA,NA,NA,NA,NA,NA,NA,NA,NA,Online forum to discuss R-related issues,NA,NA,549
Women,35 or under,Masters or lower,Non-academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,For both recreational and job/educational purposes.,Strongly agree,Agree,Disagree,No opinion,Yes,Good for reproducible research,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Website,NA,No,NA,NA,There is no group nearby/the group is inactive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104
Women,> 35,Masters or lower,Academic,< 2 years,No,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",NA,NA,NA,NA,For both recreational and job/educational purposes.,Agree,Agree,Disagree,Agree,Yes,Active developer community,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Website,NA,No,NA,NA,There is no group nearby/the group is inactive,NA,New R user group near me aimed at my demographic (specify relevant group in comments box),Free local introductory R workshops,Paid local advanced R workshops,R workshop at conference in my domain (specify domain/conference in comments box),R workshop aimed at my demographic (specify relevant group in comments box),NA,NA,NA,NA,NA,NA,695
Men,> 35,Doctorate/Professional,Academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),NA,NA,For both recreational and job/educational purposes.,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Yes,Open source,NA,Yes,The R mailing lists,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,NA,NA,NA,Blog,NA,Yes,Other (please specify),A users group for all users in my country,NA,New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,NA,Training in non-English language (specify language in comments box),NA,NA,NA,NA,715
Men,35 or under,Doctorate/Professional,Non-academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",For both recreational and job/educational purposes.,Strongly agree,Strongly agree,Strongly disagree,Disagree,Yes,Good for visualisation,NA,Yes,The R mailing lists,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,The rOpenSci mailing lists or chat forums,The Bioconductor support site,NA,NA,Twitter,NA,Yes,A general user group,NA,I am too busy,NA,NA,NA,NA,NA,NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,NA,NA,NA,405
Women,> 35,Doctorate/Professional,Non-academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,Agree,No opinion,Disagree,Disagree,Yes,Good for statistical analysis,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Twitter,NA,No,NA,NA,I am too busy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
Men,35 or under,Masters or lower,Academic,2-5 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,Agree,Agree,Disagree,Disagree,Yes,Other (please specify),I would only recommend R for data analysis using the tidyverse. Base R has far too many idiosyncrasies.,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Website,NA,No,NA,NA,It is not necessary (I have the support I need),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,869
Men,35 or under,Masters or lower,Non-academic,2-5 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Disagree,No opinion,No opinion,No opinion,Yes,Good for statistical analysis,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Facebook,NA,No,NA,NA,There is no group nearby/the group is inactive,NA,NA,Free local introductory R workshops,Paid local advanced R workshops,NA,NA,NA,NA,NA,NA,NA,NA,935
Men,> 35,Masters or lower,Non-academic,5-10 years,Yes,NA,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,NA,NA,NA,NA,NA,Good for statistical analysis,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Mailing list,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151
Women,35 or under,Masters or lower,Academic,2-5 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),NA,NA,Primarily as part of a job or educational course;,Strongly agree,Strongly agree,Disagree,Disagree,Yes,Open source,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Twitter,NA,No,NA,NA,There is no group nearby/the group is inactive,NA,NA,NA,NA,R workshop at conference in my domain (specify domain/conference in comments box),NA,NA,NA,NA,Online forum to discuss R-related issues,NA,NA,81
Women,35 or under,Masters or lower,Academic,5-10 years,No,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,I have written my own R package,NA,Primarily as part of a job or educational course;,Agree,Agree,No opinion,Agree,Yes,Good for statistical analysis,NA,Yes,NA,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,NA,NA,NA,NA,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,Online forum to discuss R-related issues,Online support group for my demographic (specify relevant group in comments box),NA,38
Women,35 or under,Masters or lower,Academic,< 2 years,Yes,NA,NA,I write R functions for use by myself or my collaborators,NA,I have written my own R package,NA,For both recreational and job/educational purposes.,Strongly agree,Strongly agree,Strongly disagree,Disagree,Yes,Supportive user community,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Blog,NA,No,NA,NA,I feel too inexperienced,NA,NA,NA,NA,NA,R workshop aimed at my demographic (specify relevant group in comments box),Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,NA,NA,NA,676
Men,> 35,Doctorate/Professional,Non-academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,For both recreational and job/educational purposes.,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Yes,Interactive/functional programming style,NA,No,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,RSS feed,NA,Yes,A general user group,NA,NA,New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229
Men,> 35,Doctorate/Professional,Academic,2-5 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",For both recreational and job/educational purposes.,Strongly agree,Disagree,Strongly disagree,Agree,Yes,Good for reproducible research,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Mailing list,NA,No,NA,NA,There is no group nearby/the group is inactive,New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,NA,NA,NA,124
Men,35 or under,Masters or lower,Non-academic,2-5 years,No,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",For both recreational and job/educational purposes.,Strongly agree,Agree,Disagree,Agree,Yes,Free,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,Blogs written by other R users,Facebook,NA,No,NA,NA,I am too busy,NA,NA,NA,Paid local advanced R workshops,R workshop at conference in my domain (specify domain/conference in comments box),NA,NA,NA,NA,NA,NA,NA,679
Men,> 35,Doctorate/Professional,Academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,Strongly agree,Agree,Strongly disagree,Disagree,Yes,Wide range of packages,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,reading books and tutorials,Mailing list,NA,No,NA,NA,It is not necessary (I have the support I need),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292
Men,> 35,Masters or lower,Non-academic,< 2 years,Yes,I use functions from existing R packages to analyze data,NA,I write R functions for use by myself or my collaborators,NA,NA,NA,For both recreational and job/educational purposes.,Agree,Agree,Agree,No opinion,Yes,Wide range of packages,NA,Yes,The R mailing lists,NA,NA,NA,NA,NA,NA,NA,Blog,NA,No,NA,NA,I feel too inexperienced,New R user group near me (specify location in comments box),NA,Free local introductory R workshops,NA,R workshop at conference in my domain (specify domain/conference in comments box),NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,Online forum to discuss R-related issues,NA,NA,717
Women,35 or under,Masters or lower,Non-academic,< 2 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Strongly agree,No opinion,Disagree,Disagree,Yes,Good for visualisation,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Website,NA,No,NA,NA,There is no group nearby/the group is inactive,New R user group near me (specify location in comments box),New R user group near me aimed at my demographic (specify relevant group in comments box),NA,NA,NA,NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,Online forum to discuss R-related issues,NA,NA,155
Men,> 35,Masters or lower,Non-academic,< 2 years,Yes,I use functions from existing R packages to analyze data,NA,I write R functions for use by myself or my collaborators,NA,NA,NA,For both recreational and job/educational purposes.,Agree,Strongly agree,Disagree,Agree,Yes,Wide range of packages,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Blog,NA,No,NA,NA,I am too busy,NA,NA,NA,NA,NA,NA,NA,NA,NA,Online forum to discuss R-related issues,NA,NA,228
Women,> 35,Doctorate/Professional,Academic,> 10 years,No,NA,NA,NA,NA,NA,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,Strongly agree,Agree,Strongly disagree,Strongly disagree,Yes,Good for statistical analysis,NA,Yes,NA,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,The rOpenSci mailing lists or chat forums,NA,NA,NA,Twitter,NA,Yes,A user group within a university,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,810
Women,35 or under,Masters or lower,Academic,< 2 years,Yes,I use functions from existing R packages to analyze data,NA,NA,NA,NA,NA,Primarily as part of a job or educational course;,Agree,Agree,Agree,Disagree,No,Good for statistical analysis,NA,No,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Website,NA,Yes,A user group within a university,NA,It is not relevant (the topics are not interesting to me),NA,NA,NA,NA,R workshop at conference in my domain (specify domain/conference in comments box),NA,NA,NA,NA,NA,NA,NA,608
Men,> 35,Doctorate/Professional,Non-academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Strongly agree,Agree,Disagree,Disagree,Yes,Good for statistical analysis,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,google,Blog,NA,Yes,A general user group,NA,NA,New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124
