"","fare_amount","tip_amount"
"7832500",8,0
"8260061",10,0
"3851607",7,0
"6170312",11.5,2.56
"6575896",7,1.95
"2910616",9.5,0
"6472981",3.5,1
"6760947",6,1.1
"4711860",8.5,1.96
"7998526",6.5,0
"1472643",10.5,1.18
"4094921",35,9.05
"4687730",5.5,0
"1047612",6,1.95
"8099082",6,0
"2979255",18.5,3.96
"7450313",16.5,2.74
"8072319",21.5,5.82
"4936467",20.5,3.27
"5361059",10,2.16
"4814725",9.5,2.06
"7416643",20.5,0
"2416303",12,0
"4425680",5.5,0
"3468502",37,8.9
"7568161",15.5,5.04
"521295",11.5,2.46
"2727315",3,0
"1515139",23.5,2
"1915230",8,1.76
"2400741",28,3
"4370443",8.5,2.58
"7321865",33,9.85
"5178259",7.5,2.2
"8275736",30.5,6.26
"5002592",6,1.36
"4569086",20.5,4.26
"2044339",5,0
"7041179",6,1.35
"2326452",23.5,3.5
"2762748",9.5,0
"6263509",9,2
"4626630",12,2.55
"2205164",9,1
"5316753",7,0
"6815770",10,0
"4922194",5.5,1.26
"2821566",7.5,1.66
"5426735",6,1.55
"1969991",17.5,0
"6353392",6.5,1.66
"5596836",6.5,1.45
"4921393",10.5,2.26
"678991",23,4
"6559383",5.5,1.26
"4545975",5.5,1.89
"2038542",13,2.86
"7684103",7,1.55
"308480",16.5,4.45
"8678597",10.5,0
"3039621",21.5,6.69
"8448979",6,1.46
"3763543",11.5,2.66
"1019190",14,2.95
"2239772",7.5,1
"2020711",8.5,1.95
"6599386",9,1.96
"2086300",4,1.06
"2818096",28,5.76
"6383167",5,0
"3082112",6.5,0
"3598061",24.5,5.06
"7179146",34,0
"2629679",8.5,1.85
"3754926",9.5,0
"6175045",7.5,0
"23375",2.5,0
"3284744",12.5,2.65
"7373441",12,0
"5303421",16,3.36
"4553609",4,0
"2065628",8,2.75
"5448810",14.5,3.26
"4680991",5.5,0
"4224981",17,0
"917641",52,7
"356056",6,1.45
"3576036",11,2.36
"4639616",16,3.36
"2574159",12.5,2
"446592",14.5,3.06
"4746974",10,2.26
"4140484",8.5,1.95
"1286058",50,10.15
"939906",7,0
"3272846",4,2
"5930958",65,10
"2940238",94,0
"2553910",7,1
"2962152",8,1
"1176109",5,0
"1328287",9,0
"793253",17,1.5
"8713825",12.5,0
"7758895",8.5,2.05
"7894673",5.5,0
"4237440",10,2.15
"5380406",14,3.7
"3934045",25.5,0
"3498904",14.5,3.15
"7596750",34,0
"7699449",16.5,0
"4118097",4.5,1.16
"6782175",12.5,2.76
"2447414",13.5,2.96
"1025873",8.5,1.67
"7121681",4.5,0
"6855663",8,1.75
"8297144",9,1.95
"605503",11.5,0
"4835985",9,0
"8203615",10,2.16
"5810850",5,1.26
"5451845",16.5,1
"7650346",4,0
"6965483",5.5,1.7
"2224523",28.5,0.2
"7030393",4.5,0.79
"393848",6.5,1.46
"8485758",2.5,0
"5517222",5.5,1
"1627710",12.5,2.66
"8665117",3.5,0
"6027410",7.5,2
"1184263",6,1.45
"2617840",6.5,0
"7709712",15.5,0
"5122479",4.5,1.7
"8551955",18.5,0
"4620499",4.5,0
"6145371",7.5,1.75
"4001653",11.5,0
"2154757",13,1.2
"6352834",4.5,1
"3787244",7.5,0
"7754698",7.5,1.86
"7842461",4,1.06
"1363826",8,2.45
"7145903",16,4.2
"6453762",10.5,0
"6020920",10.5,1
"5328578",5,1.16
"7255262",33.5,0
"2278792",52,14.6
"1684625",14,3.16
"4642753",7.5,0
"8017175",19.5,5.08
"7090050",25,0
"7640856",5.5,1
"7978725",13.5,2.14
"3277085",8,1
"2640786",15,2.43
"297844",9,1
"7513230",10.5,2.36
"8353961",9,2.7
"6944519",17,2.75
"2294632",12,0
"966513",10,2
"4731537",11.5,2.56
"349013",6.5,1.55
"4512599",6,1.36
"4102169",13,0
"7253999",11.5,0
"6210278",23.5,0
"3268571",4,0
"2237789",5,0
"3147404",6.5,2.08
"8601531",5,1
"1649768",17,3.75
"2080365",27.5,5.75
"2150450",3.5,0.86
"653226",10,0
"347533",25,5.25
"6413490",7.5,1.5
"4904459",9.5,0
"905587",25,6.41
"966316",5,0
"6163437",16.5,4.45
"8145414",13,2.15
"73893",10.5,2.25
"750892",10.5,2.25
"5628318",5.5,0.94
"1278626",13,2.5
"7122539",20,4.16
"8346740",6,0
"3159490",9,2.16
"1508196",7.5,0
"4226903",6,0
"1965867",52,0
"3297902",9.5,2.58
"8050056",64.2,0
"6998293",4,0
"6400288",9,2.7
"2044957",26,5.46
"5789377",19,0
"7969611",14.5,0
"2988293",12,0
"6685961",20.5,0
"4815971",9,1.96
"3214792",43.5,0
"1048845",10,2.36
"1048717",8.5,0
"8673978",6,1
"5441793",6,0.78
"7503975",6.5,0
"6403710",4.5,1.25
"1817153",10,1.62
"3430795",10.5,0
"2900332",14.5,3.06
"7405683",20,3.75
"2991700",4,0.96
"6728344",11.5,1.92
"2490254",9.5,1.5
"6513798",51,10.45
"1759504",9.5,2.15
"2320966",15.5,2
"6220053",9,1.96
"7625846",16.5,0
"7803579",10,3.35
"6228220",8,1.2
"692405",18.5,3.86
"6689638",11,0
"3058325",14.5,3.05
"7155449",3,0
"8545049",4,0.96
"6705939",8,0
"1921117",26,2.68
"951782",9,2.45
"1054815",8.5,1.55
"6533424",10,0
"3649438",10.5,1.5
"3191832",7.5,0.75
"3247459",14,3.05
"4453769",4,0
"1673146",19.5,5.32
"2433895",11.5,2.55
"6486020",10,0
"7643701",6,1.02
"2060450",9.5,2.7
"4708772",35,0
"907230",52,11.71
"560011",4.5,0
"1975389",9,2.16
"480958",17.5,1
"6657597",12.5,1
"4606783",36,2
"8695554",17.5,3.76
"3745592",11,2.55
"5576967",29.5,10.82
"5616018",8.5,0
"3878832",6,0
"5898569",6,1.02
"1400142",10.5,2
"3493794",39,0
"2823009",3,0
"5825543",17.5,0
"4301934",6,0
"2930235",12,2.66
"6039394",10.5,3.05
"2723580",4,1.06
"2831505",23,4.75
"3683961",7.5,1.65
"6311500",9.5,3.09
"5333414",10,0
"5175076",9.5,2.26
"2509725",28,5.76
"1259669",11.5,1.84
"6632709",52,10.56
"2753253",3.5,1.2
"5650157",4.5,0
"4512122",8,0.8
"4355485",24,0
"1835118",4.5,0
"8057518",5.5,0
"2525149",4.5,1.05
"3693827",23.5,2.5
"4513783",11,2.95
"5094373",7.5,0
"6669144",21,4.36
"6299944",9.5,2.55
"8574218",6.5,1.46
"6429036",7,1.66
"8610810",6.5,0
"4716447",9.5,2.16
"2587867",4.5,0
"3379336",13.5,4.25
"2468750",33,7.35
"7841577",5.5,1.36
"6127430",15,2
"6357693",12,2.75
"6286896",11,2.95
"1438674",11.5,0
"5560995",7,1.66
"7353301",13.5,2.85
"4955059",9.5,1.4
"6339575",7.5,0
"4344221",8.5,2.06
"1871378",10,3.24
"4585110",12.5,0
"4861883",9,1.95
"6485219",7.5,1
"7497047",7.5,1.76
"57334",3.5,0
"7575816",5.5,1.85
"1961901",20.5,0
"7486225",52,9.46
"2182548",11,2.36
"2351826",14,2.5
"8019619",20.5,4.46
"6535515",4.5,0
"1917560",7,0
"4383579",24,5.16
"4112579",12,2.66
"748494",10,2
"602493",28,7
"158715",10,3
"6334248",16,4.2
"4677964",6,0
"2140626",5.5,1.25
"6576307",16.5,4.3
"1349569",16.5,3.66
"2100547",6,1.45
"4267312",6,1.36
"3556338",4.5,0
"8281831",11,2.2
"982633",15.5,0
"2477532",12,2.55
"8106461",5,2
"1741401",12,0
"7171207",8,2.45
"8401527",9.5,2.16
"4291161",9.5,1.03
"3336782",9,0
"3616835",9,1.95
"725",5,1.55
"5959642",34.5,5
"3118990",13.5,0
"2264049",16.5,3.45
"464844",21,4.35
"4756809",8.5,0
"7267784",23,0
"4588988",8.5,0
"2773263",37,5.55
"807019",4.5,0
"68225",11,2
"5915012",11,0
"1761000",10.5,1.77
"6508531",13,2.86
"1888914",14,1
"30286",6.5,0
"55223",33,6.75
"2016715",8.5,0
"6149155",25.5,0
"6902290",33.5,0
"5938534",23,4.76
"3145011",61,0
"5110811",33,0
"1119863",9,2.06
"3757841",9.5,2.82
"2861363",21.5,4.45
"5852612",15,1.63
"2940583",5.5,0
"7578313",10,0
"1582507",7.5,1.65
"562577",23,2.5
"1760880",20,3.75
"4993673",18,3.76
"114722",7,1.17
"7932794",9,1.95
"710879",3.5,0
"1573127",7,0
"8145850",21,0
"156091",14,3.7
"5326008",15.5,3.26
"625168",52,0
"7848180",8,2.79
"7294989",10.5,1.5
"3016710",8,1
"8677796",10.5,2.36
"7769767",5.5,1.24
"1991622",13,2.96
"2454625",9.5,2.15
"6649449",7,1.72
"8525853",5.5,0
"8702943",7.5,1.76
"7292227",12,3.2
"6751976",5.5,0
"3554832",8,0
"5158003",37.5,9.01
"6117974",2.5,1.1
"8567472",4,0.95
"5862814",7.5,0.88
"6879207",5,0
"7659235",9,0
"7230308",10,2.25
"4066100",10,2.35
"1290499",19.5,4.06
"2068336",6.5,0
"982774",3.5,0
"2057399",6,1.45
"7104216",14,0
"6320602",9,0
"2753323",10,0
"3416872",9,2.16
"8643755",20,5
"8601414",13,0
"8197611",13.5,2.85
"253525",16.5,3.56
"8450067",10,2.26
"6433796",5.5,1
"912747",12,2.56
"6075499",11.5,2
"6046153",4.5,1.26
"5126350",23.5,4.85
"4789030",10,0
"7316084",4,1.2
"7928281",3.5,0.85
"3526172",11,3
"8103861",18.5,3.96
"5950835",6.5,2.19
"3941631",24,0
"4081821",13,2.95
"1191103",8,0
"2400312",14,3.06
"980367",14,0
"8587520",10.5,0
"662618",9.5,2.16
"8350136",20,4.35
"4030976",9,3.2
"2689440",7,0
"1774105",8,5
"6208830",5,0
"2109616",6,1.46
"1739605",5.5,0.7
"6703346",6,1.82
"7772998",11.5,2
"647785",8.5,0.98
"8648951",6.5,0
"1840908",8.5,1.85
"2582444",12,2.56
"1920949",33.5,0
"673129",18,3.85
"1740497",36.5,8.71
"4829164",10,1.2
"3423436",52,12.61
"845084",8,1
"5078825",5.5,0
"3227778",18,3
"1159695",9.5,2.16
"5477716",6,1.56
"7102969",6,0
"939887",8,1.76
"7749419",9.5,0
"4473323",5.5,0.68
"7325107",6,0.68
"2501685",52,0
"5722409",5,0
"2527908",14,0
"2884388",14,2.96
"3952513",7.5,1
"2915021",9,1
"647697",13.5,2.96
"8107066",3,0.85
"6728940",5.5,1.35
"4372879",3.5,0
"7729771",9,2.7
"8355989",25.5,5.45
"6724610",7.5,1.76
"8466421",4,0
"5399185",10.5,1.55
"5815831",52,5
"6997291",14.5,0
"4103080",17,3.65
"7484593",12,2.76
"3938261",12.5,1
"3654056",42.5,8.6
"2936206",8,0
"3990879",6,1.35
"3595923",6,1.35
"7793190",10,2.26
"7115691",9.5,0
"4859646",6.5,0
"8632529",5,1.45
"2715846",24.5,5.16
"804500",52,0
"4781317",5,0
"1829373",8.5,1.86
"1244144",8,1.75
"7026325",8.5,0
"3149624",10.5,2.46
"6665727",4.5,1.05
"7461547",21.5,4.66
"3502440",9.5,0
"3523878",3.5,0.95
"8610118",17.5,4.58
"1710065",7.5,1.85
"2310078",14,0
"3487010",11,2.46
"6097676",11,3
"3988871",5.5,1.26
"6470460",9,0
"8696485",6.5,1.56
"764757",7,1.56
"8121943",8.5,1.96
"3554766",23,5
"6813403",25.5,0
"6670436",5,1
"880874",8.5,1.96
"215140",17.5,0
"8362549",3.5,0
"5534194",33.5,0
"1524363",13.5,0
"4103321",8,0
"2745268",28,5.86
"4338849",52,0
"1275069",40,0
"4012384",12,1.28
"3822389",9.5,2.15
"1122162",5,0.95
"4697674",14,3.06
"1525718",63,0
"8109320",11.5,0
"735855",22.5,4.65
"6077565",5.5,0
"5403682",12.5,0
"837109",7.5,1.65
"400054",3.5,0
"1305583",4,0
"3249243",15,0
"4721318",7.5,0
"3924009",9,1.96
"2074756",17,0
"2608056",9,0
"2937247",5,1.25
"8541776",23.5,6
"4642745",10,1
"2999310",6,0
"4858944",7,0
"3099463",13,0
"5222250",31.5,8.2
"4207254",14,2
"5424983",13,2.95
"7806462",12.5,2.75
"5014874",26,5.36
"7790022",17.5,3.2
"4925490",4.5,0
"2144178",13.5,4.25
"7391851",16,1
"5362965",7.5,1.65
"7163735",13,0
"5340250",10.5,0
"1737422",18.5,3.95
"113737",13.5,0
"636701",6,1.45
"504835",52,11.7
"788065",8,1.75
"4535342",15,3.16
"7637107",10.5,2.25
"8178731",71.5,10
"4782074",5.5,0
"6037300",8.5,2.06
"5205983",7.5,2.6
"6995297",52,12
"3386165",7.5,1.66
"6221966",16.5,2.6
"7719167",13,2.22
"6296075",20.5,4.25
"7125201",30,0
"1825509",34.5,7.05
"2867668",21.5,4.46
"305265",7,1.66
"2758071",8.5,1.96
"2755979",12,2.66
"2218947",9.5,1.55
"2527477",7,0
"1031686",11.5,2.45
"7532901",5,1.55
"4712011",2.5,0
"6881377",8.5,1.86
"8150181",18.5,3.96
"238463",13.5,0
"5421501",10,2.36
"56090",5.5,1
"2840756",9.5,2.05
"3265250",6.5,0
"2876876",9.5,5
"3352139",8.5,1.86
"8329211",18,0
"4009688",11,2.36
"8360124",6.5,0
"6202337",25,8.02
"4884572",6.5,0
"7697649",13.5,3.55
"364457",20.5,4.36
"3595650",11.5,1
"4837774",9,0
"2410947",22.5,4.76
"5428846",12,2.75
"4288979",22.5,2
"7347793",13.5,0
"2533677",8,0
"8378568",4,1.16
"8665441",12,0
"6320143",6,1.36
"1872908",9.5,3.09
"3429484",3.5,0
"5400152",16,0
"88112",8.5,1.85
"7468382",19,0
"4500021",32.5,5
"6088145",52,12.61
"8674886",5.5,0
"3639721",52,10
"2364528",9.5,2.15
"611117",15.5,2.52
"7476757",11,2.55
"2052586",12.5,0
"2985343",6,1
"8372039",12,2.75
"6094591",15.5,3.45
"4326875",7,1.76
"3407437",8,2.2
"7228966",5.5,0
"8424361",9.5,2.16
"4118468",7,0
"1052175",8.5,2.05
"3662252",11.5,0
"2146081",4,0.96
"5041264",8.5,1.86
"2459655",5,0
"7476526",4.5,0.94
"8575528",6.5,2.19
"1781078",9.5,2.15
"190109",9,2.15
"3340192",12.5,0
"3824744",7,2.45
"4275336",6.5,1.46
"1796660",5.5,0
"2219793",9.5,1.03
"64027",6,1.36
"4509309",19,0
"4720484",9.5,2.16
"8322039",5.5,1.46
"8499498",11.5,0
"2746194",6,1.45
"5388902",7,1.56
"8288547",5.5,0.7
"7883600",12,3.8
"749716",44,10.11
"2420011",6.5,1.56
"204553",8.5,2.06
"690964",7.5,1.65
"8654068",7,1.56
"8304127",4,1.2
"8599384",15,3.16
"3513638",7,1.66
"1196216",10,2.16
"5660467",14.5,1
"2272645",3.5,1.29
"6186042",9,2.06
"313442",5,1.25
"6799120",24.5,5.15
"4240297",7,1.56
"2080115",9,0
"3956241",13,2.76
"3120368",8.5,1.7
"3611446",8.5,1.4
"724232",7.5,1.66
"1882753",7,0
"1015312",7.5,0
"7177567",15.5,3
"8029029",5,1.36
"3879944",8.5,2.3
"2360613",10.5,2.36
"2170158",16.5,1.73
"2114203",19.5,4.16
"4251470",8,0
"5501957",11.5,3.84
"1663874",18.5,0
"808101",6,1.02
"599157",20,4.26
"3374620",42,0
"372169",44,0
"4324696",10,2.7
"1701920",45,5
"5127632",11,2.35
"711268",10,1
"4429710",11,3.08
"4967045",7.5,2.64
"3068901",10.5,0
"2738764",8.5,0
"8691670",10.5,2.35
"1780128",8.5,2.45
"8397965",9,2.58
"4922725",52,14.64
"1668957",24.5,5.26
"7558474",6,0
"3371547",9,2.9
"348512",6.5,0
"3641017",24.5,5.06
"5305050",3.5,0.85
"1957703",16.5,3.5
"1232535",9.5,0
"3296249",7,0
"1865305",17,3.56
"3155005",17.5,3.85
"3992500",8.5,1.85
"7223795",10.5,0
"1466274",16,3.46
"5089611",5.5,0
"4973327",3.5,0
"4991058",6,1.36
"1759043",11,3.69
"6262567",22,1.2
"5375656",7,0
"3870499",31.5,7.71
"7314167",18.5,0
"8069806",22.3,4.52
"3932758",10.5,2.26
"2243906",15,0
"3477866",6.5,1.56
"6267145",15,0
"2109498",9,0
"4281949",30.5,0
"246881",10,2.35
"4020284",9,1.96
"4610138",6,0
"4732523",4,1.06
"6014366",58,11.76
"5808241",7.5,0
"7104091",4.5,1.3
"5814696",30,0
"1215943",4.5,0
"6937355",11.5,2.46
"4210284",3.5,0.85
"6072277",5.5,1
"6012185",28.5,0
"1977164",10.5,2.46
"230103",11,2
"8297809",30,0
"1653035",6,1
"7734354",4,0
"2506374",12,0
"5350956",26.5,6.61
"5148557",5,1.36
"3440995",6.5,1.66
"5635205",13.5,2.85
"4535403",6.5,1.46
"6718786",51,0
"1165897",23,0
"2770280",15.5,3.26
"5681898",10,1.5
"8535457",11.5,0
"978853",8,1.76
"1359371",9.5,2.82
"558411",300,0
"2632257",7,1.55
"3204113",5.5,1.35
"6757377",8,0
"3218808",12.5,1.2
"5724902",22,4.76
"6766002",9.5,1
"742865",9,0
"4480229",13.5,14.8
"7582065",81,0
"282512",23,0
"3185871",4.5,0
"2335482",20,0
"8515522",7.5,1.66
"4003745",9,1.96
"7485519",4,0.87
"2301230",10,0
"8131510",31.5,0
"4364655",6.5,2.45
"2187072",35,7
"7428741",6.5,1.66
"6057413",5.5,1.45
"1377092",13.5,2.3
"7096678",34.5,7
"7197725",13,2
"187318",9,0
"5242832",22,4.65
"7893132",8.5,1.4
"2729896",14.5,3.95
"2593198",22,4.56
"5422738",52,12.6
"1177884",14,0
"2241649",52,11.71
"5650305",9.5,2.05
"4854493",22,5.71
"7587096",9,0
"6904227",11.5,2.46
"1292929",5,0
"5583603",7,1.17
"2122917",8,0
"1615259",13.5,2.86
"4201738",5,1.25
"4631414",20,3.2
"3862029",16,2
"1677278",7,1.76
"4896276",5.5,1.25
"984694",52,11.7
"586294",17,0
"3048048",5,0
"1622693",5.5,0
"1454232",3.5,0.62
"6655464",48,0
"2145583",9.5,1.55
"1185062",21,0
"6892542",4,1.2
"177995",10,2.15
"3814986",57,11.56
"5389816",40.5,0
"4166651",8,1.85
"1286144",11,2.36
"3524390",10.5,0
"5979658",8,0
"7119184",25.5,0
"662826",23,0
"4367174",9.5,3.35
"3477236",6,0.73
"924743",7.5,1.24
"2262314",7,1
"2732900",17.5,0
"5757917",10.5,2
"1031738",6,1.36
"7580955",4.5,1.32
"2235249",5.5,0
"1633589",11.5,3.05
"5911911",10.5,1.13
"4403868",5,0
"3515229",8,1
"4851841",48,9.76
"8666946",9,2.06
"526139",35,4
"4825441",5,0
"2341173",9.5,2.25
"5747660",7.5,1.85
"2938675",9.5,2.16
"3496471",4.5,0
"8245431",10,1
"1490753",14.5,3.15
"7719157",38.5,0
"1248139",15,3.95
"6658031",13.5,0
"1203102",7.5,1.66
"2661916",8.5,0
"6240182",20,0
"6963388",7.5,1
"2290196",15,0
"1546935",3.5,0
"7855385",5,0
"2749302",6,1.46
"4613162",9,1.96
"2997119",35.5,8.4
"3878305",6,0
"350404",8.5,1.95
"2983204",68.5,21.5
"7048012",8,0
"7071541",8.5,0
"5554880",6,1
"6651377",9,0
"6642868",5.5,1.25
"6063805",12.5,2.86
"737155",5.5,0.7
"1470542",9.5,2.15
"6803384",5,1.26
"7602463",15,0
"7702165",4.5,0
"8571974",11.5,2
"5937359",8,1.6
"8252483",25,6.45
"5046177",17.5,3.65
"4029829",11,0
"3030947",19,3.96
"834027",11,3.5
"3411260",5.5,0
"2014995",4,1.05
"34365",4,0
"7684886",8.5,0
"7914278",6,1.35
"2266954",23,4
"1623161",23,0
"2629993",21,0
"8478003",12,0
"1427631",5.5,0
"2389828",5,1.25
"2230738",5,0
"2328428",24.5,0
"4757572",9,1
"6952439",6,0
"5292448",8.5,1.7
"5342954",10,2.7
"7380464",18,0
"3895730",8,1.75
"1641403",52,10
"3279527",14,2
"3876185",11.5,0
"2285033",8,1
"958924",9.5,2.55
"11413",22,4
"2758820",4.5,0
"6796136",8.5,2.9
"7190621",13,4.44
"4648543",6,0
"2216074",14.5,0
"7321149",16,3.35
"165476",7.5,1.65
"7630164",17.5,3.66
"6600706",18,0
"239496",10.5,2.46
"7876789",5,0
"855178",8,2
"5001677",8,1.32
"3087517",10.5,0
"6227253",-3,0
"5831686",6.5,0
"7806166",19,3.8
"6540538",3.5,1.08
"5637433",14.5,4.59
"6783219",10.5,1.77
"4628718",7,2
"8067255",14,3.16
"5961371",8,1.32
"7108075",5.5,0.63
"7522541",10.5,2.36
"5786035",9,0
"7172444",15.5,3.46
"2694355",32,7.15
"3539641",5.5,0
"622022",16,3.46
"3255546",6,0
"3636037",62.5,13.8
"2631449",6.5,0
"7124728",52,8.78
"857958",24.5,6.31
"1789964",4.5,0.87
"5937681",8,2.6
"7724313",12.5,2.85
"6515456",9,0
"6361411",40.5,0
"544747",10,2.7
"5992616",16,5
"7903268",7.5,1.7
"1379018",9,2.15
"4626358",7.5,1.66
"6595346",11,1
"3559576",7.5,2
"7016752",52,11.71
"1966764",6.5,1.65
"6554713",7,0
"1310305",10,1.62
"1318731",8.5,0
"4393673",8,2.32
"4907321",10,2.16
"8659422",12.5,2.5
"3381630",23,4.76
"3888168",4.5,0
"1027136",4.5,0
"5995823",6.5,0
"2098028",7.5,0
"2891999",21,4.35
"3007909",7.5,2.08
"6734002",5,0
"5453407",5,1.36
"3130854",16.5,5.49
"3363057",66.5,25.65
"3007929",5.5,0
"9821",14,2
"2977964",4,0.5
"4147138",8,1.86
"1334078",17,3.56
"7850081",15.5,4.51
"2490165",5.5,0
"2371874",5,1.25
"4719636",7,0
"3381106",7,2.3
"8141166",12,3.32
"7176501",5.5,1.46
"463828",7,1.55
"4327933",21,4.56
"7185577",9.5,2.82
"2677483",4.5,1.15
"6181318",20,4.26
"7837350",6,1.46
"596430",17,0
"3948017",14.5,0
"6108429",5,1.25
"7535312",28,5.26
"5409795",19.5,0
"3657978",19,3.95
"3571122",6.5,1.46
"7817145",7,0
"3088212",3.5,2
"3051895",10.5,2
"6965979",7,1.65
"4336250",11,3.2
"6401086",6.5,1.2
"827568",13,0
"4651310",12.5,2
"3267643",4.5,0
"8289393",8.5,0
"3022657",10,1.62
"4365732",52,10
"7683587",7,0
"5127447",19,1.98
"4994371",8,0
"4534787",4,0.96
"1748649",10,0
"7957664",10,0
"2317468",7,0
"414597",13,2.76
"5276982",9,1.2
"1743012",6.5,1.55
"2768463",52,10.55
"3779881",4.5,1.26
"4855139",17,0
"1120061",7,0
"4027024",8,2
"4876220",15.5,3.25
"4986287",5,0.63
"2467787",4,0
"1369684",30,7.5
"5299740",52,11.71
"2358520",9.5,2.15
"1567750",10.5,2.26
"2885118",34.5,0
"6180980",30.5,5
"6382061",5.5,1.46
"4776848",3,0
"853036",17,0
"152868",17,3.55
"6814206",4.5,0
"435387",18.5,3.86
"7537921",6,1.45
"5943941",10,1.2
"3317860",5.5,0
"1866642",22.5,4.65
"2895020",17.5,3.66
"6834421",6.5,1.82
"8442989",27,3.5
"6134685",8,0.46
"685489",7.5,0
"5381187",15,3
"8315366",12.5,2.66
"5212227",5.5,0
"8254829",10,0
"5378962",3.5,0.85
"7288057",5.5,0
"4961094",6.5,1
"7212443",31.5,15
"8276669",15,3.16
"4709104",8,2
"7178320",5.5,1.45
"3973059",8,1.75
"3570963",4.5,0
"848127",11,2.45
"121536",26.5,6.6
"4825292",5,0
"1832376",14.5,0
"6530033",4.5,0
"5833093",9,0
"6847451",10,2.16
"3597997",9,2.45
"6416540",11.5,2.56
"3955079",12.5,2.65
"5280879",6,1
"2709883",8.5,0
"286298",12,0
"6987784",11.5,1
"3067097",5.5,1.26
"1868816",20.5,3
"7831819",8.5,1.2
"7925724",13.5,2.85
"7576095",41,0
"2126402",17.5,3.76
"4816119",28.5,8.75
"7762547",6,0
"5697381",5,1.16
"3962748",10,2.2
"141100",4,0
"3613382",6,0
"6203748",5,1.26
"2377280",14.5,0
"4089044",13,2.95
"2639617",9,1.96
"5811010",6,1.45
"157856",6.5,0
"6733495",18.5,3.96
"2575593",5.5,0
"1958560",6,1.2
"7653894",7.5,1.25
"7403098",19,3
"7052007",47.5,0
"1121888",52,14.64
"3057451",4,2
"6490460",9.5,0
"8574560",7,1.56
"6323906",6.5,1
"4746152",6,0
"6350315",17,0
"7765964",17,2
"4167955",11.5,3.2
"6764032",4,1.05
"1051975",52,7
"6239009",8,1.76
"2471649",8,1.86
"5568641",5,0
"7576441",5,0
"3356211",26.5,0
"5716546",13,0
"6472734",15,0
"7414311",20.5,5.32
"5156398",5.5,0
"5007516",8.5,0
"5014879",40,9.3
"2845522",10.5,2
"529118",17,0
"1705140",9.5,2.25
"7165041",47,8
"2942529",6.5,0
"3778245",6,1.56
"5733829",12,1
"7267701",12,2.66
"4210784",37,9.45
"7560726",22,4.65
"7807217",7,0
"778545",8,2.2
"2710750",6.5,0.78
"3058152",9,0
"8445692",3,0.86
"2480965",6.5,1
"4028690",9.5,2.25
"2985750",8,1.76
"2661525",13.5,2.95
"1851732",7,1.55
"1050599",6,2
"6134325",30.5,0
"6520824",10.5,2.95
"7051104",13,2.75
"3232893",6.5,0
"3336711",6,0
"5476507",15.5,3.45
"2624192",20,3
"1783892",18.5,0
"1691698",7.5,0
"5668240",52,14.64
"6304595",7.5,1
"5470212",9,1
"229622",8.5,2.05
"8050137",4.5,1.26
"7597194",19.5,3.05
"7515809",35.5,9.2
"4265927",6.5,0
"4345289",13,0
"8010090",52,0
"3875581",2.5,0
"2448620",11,2.46
"2170679",9.5,2.06
"770685",13,2.75
"5854176",51.5,0
"7219599",8,0
"4924722",9,1.96
"4238260",6,0
"8299647",5.5,1.26
"6454910",5.5,0
"1413717",16.5,0
"5631117",14,2.95
"7901679",8,2.64
"6619544",11.5,2.46
"2585063",6,1.35
"678194",8.5,2.2
"8265132",14.5,3.82
"8629944",25,1
"910071",12,2.65
"2497844",8.5,0.93
"3603045",6.5,1.46
"2181180",5.5,1
"4381231",5.5,0
"6962861",15,3.26
"5692022",5,0
"8137541",9.5,0
"2223978",14.5,3.06
"7352392",6,0
"6989601",10.5,2.95
"6105941",20.5,4.36
"4747932",5,1
"2409426",52,0
"323490",4.5,0
"1873962",17.5,1.05
"3466163",23,6.1
"1522315",10,2.16
"8313630",6.5,0
"7721974",5.5,1.8
"1320867",5,1.15
"978325",7,1.55
"2288062",16.5,3.66
"5925229",6,1.36
"6795712",7,1.66
"6875095",3,1
"7831101",26.5,5.56
"5169560",8.5,2.05
"1797346",10.5,2.95
"453627",9,1.96
"1853929",8,0
"3941777",4,1.2
"3102900",4.5,1.05
"74301",8.5,2.3
"3323235",12,0
"3733943",8,1.95
"1131271",10.5,0
"2458813",6.5,1.56
"4356596",12.5,0
"5064382",5.5,0
"6125417",4,1
"1713221",17,0
"3091310",11,0
"5905216",5,0.5
"4713113",7,1
"8239750",4,0.95
"405418",13,2.76
"1455292",8,1.85
"1891591",11.5,2.45
"8230414",8,0
"3476489",14.5,3.16
"1650972",11,3.84
"37913",8,0
"1834549",5,0
"608075",7,1.66
"6054750",15.5,0
"4314076",6,0
"5059105",10.5,2.26
"114476",11,2
"2489831",9,1.96
"3124888",5.5,1
"609188",12.5,2.76
"1045069",52,11.7
"6058746",20.5,1.12
"3756001",7.5,1.86
"2758111",8,0
"4837174",5,0
"8633133",4,0
"3975959",8,0
"2787224",12.5,2.65
"6304452",20.5,0
"3092844",11.5,1.85
"2390069",12.5,3.45
"3555118",5,0
"5622617",10.5,2.8
"6178651",30.5,0
"7131688",3.5,1.08
"522629",20.5,2
"1846320",5.5,0
"8557745",11,2.36
"7963927",52,0
"7787775",7.5,1.32
"7412634",20,6.24
"2063531",10,2.26
"3213021",11,3.65
"4850568",7.5,2
"1268369",6,1.02
"7572711",10.5,2.36
"2137192",11,2.95
